Region,Main_brand,Category,Age,Gender,Nationality,OSAT,Communication,Ontime,Proposition,Delivery_fees,Restaurant_options,Grocery_options,Ease_usage,Delivery_process,App_sat,time_deliveryboy,Customer_support,Payment_process,Paying_,Product_quality
Western,HungerStation,Restaurants,30-39,Male,Expat Arabs,8,6,5,6,6,6,6,7,7,7,6,7,6,8,7
Western,HungerStation,Restaurants,30-39,Female,Nationals,9,10,10,10,9,10,10,10,10,10,10,9,10,9,10
Western,HungerStation,Restaurants,30-39,Male,Nationals,10,9,8,10,,10,9,10,,10,9,10,,9,10
Western,HungerStation,Restaurants,40-49,Male,Expat Asians,7,9,9,9,9,9,9,9,9,9,9,9,9,8,9
Central,HungerStation,Restaurants,30-39,Female,Nationals,6,8,7,7,6,6,6,5,7,7,5,6,6,6,6
Central,HungerStation,Restaurants,30-39,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,Careemnow,Restaurants,30-39,Female,Nationals,10,6,10,9,8,7,6,9,6,8,7,8,7,9,7
Western,HungerStation,Restaurants,30-39,Male,Expat Asians,9,10,8,9,10,7,5,6,8,10,9,9,7,8,10
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,9,8,8,8,8,9,6,5,6,6,7,7
Western,HungerStation,Restaurants,30-39,Female,Nationals,10,9,3,6,5,10,6,6,9,9,8,7,9,7,6
Central,HungerStation,Restaurants,15-29,Female,Nationals,9,10,9,10,10,10,10,10,10,10,10,9,10,10,10
Western,HungerStation,Restaurants,30-39,Male,Expat Arabs,8,8,10,9,9,8,8,9,10,10,8,8,8,8,9
Western,HungerStation,Restaurants,15-29,Female,Nationals,7,8,7,9,9,8,8,9,7,6,9,7,7,7,6
Western,HungerStation,Restaurants,30-39,Male,Expat Arabs,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
Western,ToYou,Grocery,15-29,Male,Nationals,8,9,4,8,8,10,8,8,9,9,9,8,9,8,9
Northern,HungerStation,Restaurants,30-39,Male,Expat Arabs,9,8,9,8,8,9,7,8,6,7,8,8,9,8,9
Central,MRSOOL,Restaurants,15-29,Female,Expat Arabs,8,8,7,6,5,8,8,6,8,8,10,7,9,9,7
Northern,HungerStation,Restaurants,40-49,Female,Nationals,9,8,7,8,7,9,8,9,7,9,8,9,9,8,9
South,HungerStation,Restaurants,30-39,Female,Nationals,10,10,9,9,9,9,9,8,10,9,9,9,10,9,8
Western,Careemnow,Restaurants,40-49,Male,Nationals,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Western,HungerStation,Restaurants,30-39,Female,Expat Arabs,9,8,7,8,5,7,7,8,9,8,9,8,6,5,6
Central,MRSOOL,ODS,30-39,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,MRSOOL,Restaurants,30-39,Male,Expat Arabs,8,8,8,7,7,7,7,7,7,8,8,8,8,7,7
Central,HungerStation,Restaurants,50+,Male,Nationals,7,4,3,4,3,4,3,3,3,3,3,4,3,3,3
Central,MRSOOL,Restaurants,30-39,Male,Nationals,10,9,8,7,8,7,8,7,7,7,7,8,7,8,7
Western,HungerStation,Restaurants,30-39,Male,Expat Arabs,8,8,7,8,8,9,10,,8,,8,,10,,
Western,HungerStation,Restaurants,30-39,Male,Expat Asians,9,9,8,9,8,9,7,9,9,9,8,7,8,8,8
Central,MRSOOL,Grocery,40-49,Male,Expat Arabs,9,8,9,8,8,7,10,10,10,10,10,9,9,9,9
Northern,HungerStation,Restaurants,15-29,Female,Expat Arabs,9,8,7,7,6,7,8,8,9,8,7,8,8,9,8
Central,HungerStation,Restaurants,30-39,Male,Expat Arabs,10,10,10,10,10,10,10,10,10,10,7,8,8,10,7
Central,HungerStation,Grocery,30-39,Male,Nationals,9,10,9,9,8,9,10,8,9,10,10,9,9,10,10
Central,Careemnow,Restaurants,30-39,Female,Nationals,10,10,10,10,10,10,10,9,10,9,9,10,10,10,10
Central,Nana,Grocery,40-49,Male,Nationals,7,6,4,7,7,6,9,5,4,5,5,5,7,6,6
Central,HungerStation,Restaurants,30-39,Female,Nationals,9,8,10,9,5,7,7,7,10,10,10,6,10,4,9
South,HungerStation,Restaurants,30-39,Male,Expat Arabs,7,7,7,7,6,7,7,7,7,8,7,6,7,6,6
Western,HungerStation,Restaurants,30-39,Female,Expat Arabs,9,9,9,9,7,10,10,9,10,10,10,9,10,8,10
Central,Careemnow,Restaurants,30-39,Male,Nationals,8,9,9,8,8,8,8,8,8,8,8,9,9,9,9
Central,Careemnow,Restaurants,30-39,Female,Nationals,9,9,10,9,9,8,7,8,8,8,9,9,10,9,9
Western,MRSOOL,Restaurants,15-29,Female,Expat Arabs,7,6,7,5,5,7,4,6,5,6,4,5,3,4,6
Western,HungerStation,ODS,15-29,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,40-49,Male,Nationals,10,10,10,10,9,10,10,10,10,10,10,9,10,9,10
Northern,HungerStation,Restaurants,40-49,Male,Expat Arabs,8,6,7,7,10,10,8,10,7,9,7,1,10,9,9
Central,HungerStation,Electronics,15-29,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,15-29,Female,Nationals,10,10,9,9,10,10,10,8,7,7,7,8,8,8,7
Eastern,HungerStation,Restaurants,15-29,Female,Nationals,7,9,10,7,1,9,10,9,5,9,8,9,8,8,9
Western,MRSOOL,Pharmacies,15-29,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,,10,10,10,10,10
Central,HungerStation,Restaurants,40-49,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Grocery,30-39,Male,Nationals,10,10,9,8,10,8,8,6,8,9,9,10,7,7,9
Western,HungerStation,Pharmacies,30-39,Male,Nationals,9,10,9,9,10,8,9,9,9,10,9,9,9,10,10
Western,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Grocery,30-39,Male,Expat Asians,8,9,9,9,8,9,5,8,9,9,9,10,8,9,9
Western,MRSOOL,Restaurants,15-29,Female,Expat Arabs,5,4,3,4,2,4,3,4,3,4,3,5,3,4,3
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,15-29,Female,Nationals,8,8,9,7,8,8,9,9,7,7,9,8,8,9,8
Northern,HungerStation,Restaurants,30-39,Male,Expat Arabs,9,5,5,5,5,6,7,5,7,6,6,7,6,6,7
Central,HungerStation,Restaurants,30-39,Female,Nationals,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,MRSOOL,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,30-39,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9
Central,HungerStation,Restaurants,30-39,Female,Nationals,9,10,8,9,8,7,7,9,8,10,8,9,8,7,9
Northern,HungerStation,Restaurants,40-49,Male,Expat Arabs,7,6,6,6,7,8,7,8,8,7,7,1,8,8,8
